"","fold","part","maximo","minimo","mediana","media","primeiroQuadrante","terceiroQuadrante","valueSilhouete"
"soma",55,23,1.90901159194565,-1.95781324823834,-0.20340007599068,-0.113900452068512,-0.83907818145683,0.521777653397637,-0.113900452068512
"media",5.5,2.3,0.190901159194565,-0.195781324823834,-0.020340007599068,-0.0113900452068512,-0.083907818145683,0.0521777653397637,-0.0113900452068512
"mediana",5.5,2,0.249131520847919,-0.195094598155873,-0.0330677829625927,-0.00267069662938871,-0.0805237794335198,0.0449184440254314,-0.00267069662938871
"desvioPadrao",3.02765035409749,0.483045891539648,0.102424772550033,0.0915333192448434,0.0737066157379739,0.0746102167056564,0.0913736814329024,0.0562969291734771,0.0746102167056564
"minimo",1,2,0,-0.343267398461395,-0.0956962299686801,-0.128024932265249,-0.219815752223948,0,-0.128024932265249
"maximo",10,3,0.25197682664331,0,0.173938563576834,0.13900387391877,0.110052343377701,0.202890094117903,0.13900387391877
